,WijkenEnBuurten,Perioden,Totale_overlast,Overlast_drugs_alc,Totaal_misdrijven,Vernieling
0,Ermelo - Noord,2023,38.0,4.0,40.0,4.0
1,Ermelo - Oost,2023,18.0,1.0,24.0,2.0
2,Ermelo - Zuid,2023,131.0,7.0,151.0,15.0
3,Ermelo - West,2023,93.0,6.0,89.0,8.0
4,Veldwijk,2023,51.0,4.0,37.0,9.0
5,Ermelo - Centrum,2023,168.0,20.0,244.0,24.0
6,Tonsel,2023,24.0,3.0,36.0,1.0
7,Veldzicht,2023,32.0,1.0,23.0,4.0
8,Verspreide huizen Horst,2023,62.0,3.0,41.0,5.0
9,Verspreide huizen Zuiderzeeland,2023,13.0,,23.0,1.0
10,s Heerenloo,2023,33.0,1.0,48.0,5.0
11,Verspreide huizen Telgt,2023,14.0,2.0,21.0,
12,Verspreide huizen bosgebied,2023,34.0,3.0,32.0,4.0
13,Drie,2023,1.0,,,
14,Verspreide huizen Speuld,2023,1.0,,9.0,1.0
15,Verspreide huizen heidegebied,2023,1.0,,7.0,
16,Verspreide huizen De Beek,2023,1.0,,4.0,1.0
17,Verspreide huizen Houtdorp,2023,1.0,,,
18,Verspreide huizen Staverden,,,,3.0,
19,Verspreide huizen Leuvenum,,,,1.0,
