Codering_3,InBezitWoningcorporatie_43,InBezitOverigeVerhuurders_44,PercentageOnbewoond_40,Woningvoorraad_35,Koopwoningen_41
BU02330001,6.0,15.0,5.0,1345,79.0
BU02330002,44.0,2.0,3.0,1280,54.0
BU02330003,34.0,5.0,3.0,2839,60.0
BU02330004,38.0,4.0,1.0,2572,58.0
BU02330005,23.0,23.0,23.0,91,54.0
BU02330101,12.0,24.0,8.0,1382,63.0
BU02330201,0.0,23.0,12.0,156,76.0
BU02330202,0.0,27.0,10.0,229,73.0
BU02330301,0.0,29.0,21.0,471,71.0
BU02330302,8.0,19.0,4.0,273,74.0
BU02330303,2.0,79.0,39.0,290,19.0
BU02330304,0.0,20.0,11.0,289,80.0
BU02330401,0.0,50.0,46.0,114,44.0
BU02330402,,,,5,
BU02330501,5.0,13.0,7.0,174,83.0
BU02330502,,,,17,
BU02330503,0.0,29.0,24.0,42,69.0
BU02330504,0.0,18.0,6.0,33,82.0
BU02330505,,,,17,
BU02330506,0.0,96.0,14.0,28,4.0
